,time,meassures of PM10 (qm)
0,2022-02-06:06,3.7237396
1,2022-02-06:05,4.1013737
2,2022-02-06:04,4.3915215
3,2022-02-06:03,4.6231956
4,2022-02-06:02,4.817959
5,2022-02-06:01,4.600398
6,2022-02-06:00,4.415765
7,2022-02-05:23,4.136305
8,2022-02-05:22,3.921477
9,2022-02-05:21,3.722707
10,2022-02-05:20,3.6301088
11,2022-02-05:19,3.6255693
12,2022-02-05:18,3.6636446
13,2022-02-05:17,3.7992172
14,2022-02-05:16,4.23332
15,2022-02-05:15,5.176514
16,2022-02-05:14,5.3251395
17,2022-02-05:13,5.325261
18,2022-02-05:12,5.1039305
19,2022-02-05:11,4.847374
20,2022-02-05:10,4.5065427
21,2022-02-05:09,4.2128305
22,2022-02-05:08,3.9089973
23,2022-02-05:07,3.7680037
24,2022-02-05:06,3.6466131
25,2022-02-05:05,3.6404
26,2022-02-05:04,3.746577
27,2022-02-05:03,3.6820583
28,2022-02-05:02,3.3478692
29,2022-02-05:01,2.809149
30,2022-02-05:00,2.2877774
31,2022-02-04:23,1.7339026
32,2022-02-04:22,1.092223
33,2022-02-04:21,0.5837519
34,2022-02-04:20,0.35202855
35,2022-02-04:19,0.22294876
36,2022-02-04:18,0.1717815
37,2022-02-04:17,0.17615765
38,2022-02-04:16,0.25516936
39,2022-02-04:15,0.39654946
40,2022-02-04:14,0.49346435
41,2022-02-04:13,0.5643904
42,2022-02-04:12,0.64257723
43,2022-02-04:11,1.0367786
44,2022-02-04:10,1.5090519
45,2022-02-04:09,1.9388678
46,2022-02-04:08,2.4977453
47,2022-02-04:07,3.7534022
48,2022-02-04:06,5.356125
49,2022-02-04:05,2.9396923
50,2022-02-04:04,2.0665138
51,2022-02-04:03,3.1214733
52,2022-02-04:02,3.815447
53,2022-02-04:01,4.872125
54,2022-02-04:00,6.320117
55,2022-02-03:23,7.313014
56,2022-02-03:22,5.9592786
57,2022-02-03:21,3.8998933
58,2022-02-03:20,2.8782225
59,2022-02-03:19,2.7743042
60,2022-02-03:18,3.9474418
61,2022-02-03:17,4.4761314
62,2022-02-03:16,5.3257837
63,2022-02-03:15,5.8385925
64,2022-02-03:14,5.533413
65,2022-02-03:13,4.930249
66,2022-02-03:12,4.2021713
67,2022-02-03:11,4.5504274
68,2022-02-03:10,5.6734242
69,2022-02-03:09,8.427353
70,2022-02-03:08,9.456319
71,2022-02-03:07,10.65114
